FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STP,STA,ETA,TDT,ATA,RCP,FSA,SDT,POP,OPE,NAT,FLX,MFF,SST
MU556,,MU556,加尔-昆明,CCU,,I,B6870,A320,,,,3:00,5:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
UW9948,,UW9947,马德拉斯-昆明,MAA,,I,B2330,A306,,,,3:00,6:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5094,,MU5094,新加坡-昆明,SIN,,I,B1609,A320,,,,3:30,7:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
SC8886,,SC8886,曼谷-昆明,BKK,,I,B7087,B738,,,,4:05,5:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9584,,8L9805,马尼拉-昆明,MNL,,I,B8446,A320,,,,4:40,8:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2592,,MU5456,普吉-昆明,HKT,,I,B2229,A320,,,,5:30,8:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CF9018,,CF9017,南京-昆明,NKG,,D,B2824,B757,,,,6:00,8:55,,,,,33-计划,2017/6/19,REG,REG,CGO,,,0
PN6393,,PN6393,重庆-昆明,CKG,,D,B8102,A320,,,,6:10,7:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
SC8829,,SC8829,青岛-昆明,TAO,,D,B1743,B738,,,,6:10,9:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8206,,3U8205,广州-昆明,CAN,,D,B8329,A320,,,,6:15,8:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9994,,8L9855,西安-昆明,XIY,,D,B7990,B738,,,,6:25,8:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2567,,MU2567,广州-昆明,CAN,,D,B5701,B738,,,,6:30,9:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
EU2223,,EU2721,成都-昆明,CTU,,D,B6940,A320,,,,6:35,8:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8286,,KY8273,广州-昆明,CAN,,D,B5672,B738,,,,6:45,9:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9905,,8L9910,版纳-昆明,JHG,,D,B5249,B737,,,,6:50,7:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
MU5449,,MU5464,重庆-昆明,CKG,,D,B6799,A320,,,,6:50,8:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5764,,MU5811,深圳-昆明,SZX,,D,B1792,B738,,,,6:55,9:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9556,,8L9623,海口-昆明,HAK,,D,B1825,A320,,,,7:00,8:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3481,,CZ3481,广州-昆明,CAN,,D,B6202,A319,,,,7:00,9:18,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA1403,,CA1404,北京-昆明,PEK,,D,B5167,B738,,,,7:00,10:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
BK2797,,BK2798,长沙-昆明,HHA,,D,B1963,B738,,,,7:05,9:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2359,,MU2360,西宁-昆明,XNN,,D,B6876,A320,,,,7:05,9:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9652,,8L9991,郑州-昆明,CGO,,D,B7992,B738,,,,7:05,9:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5852,,MU5759,成都-昆明,CTU,,D,B6148,B738,,,,7:10,8:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
ZH9411,,ZH9412,深圳-昆明,SZX,,D,B5361,B738,,,,7:10,9:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
SC4769,,SC4770,厦门-昆明,XMN,,D,B6985,B738,,,,7:10,9:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5497,Y,MU5498,青岛-昆明,TAO,,D,B9946,A320,,,,7:10,10:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9802,,8L9841,丽江-昆明,LJG,,D,B5810,B737,,,,7:15,8:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
OQ2327,,OQ2328,重庆-昆明,CKG,,D,B6183,A319,,,,7:15,8:43,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
MU2249,,MU2250,兰州-昆明,ZGC,,D,B8558,A320,,,,7:15,9:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8661,,3U8259,成都-昆明,CTU,,D,B6719,A320,,,,7:20,9:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5469,,MU5470,南昌-昆明,KHN,,D,B1865,A320,,,,7:20,9:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
QV815,,QV816,万象-昆明,VTE,,I,RDPL34223,A320,,,,7:20,9:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA1751,,CA1956,杭州-昆明,HGH,,D,B6023,A319,,,,7:25,10:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
9C8953,,9C8954,上海-昆明,SHA,,D,B6708,A320,,,,7:25,10:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5747,,MU5973,版纳-昆明,JHG,,D,B5802,B737,,,,7:30,8:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
UW9942,,UW9943,达卡-昆明,DAC,,I,B2325,A306,,,,7:30,9:40,,,,,33-计划,2017/6/19,REG,REG,SPE,,,0
MU2705,,MU2705,南京-昆明,NKG,,D,B6462,A319,,,,7:30,10:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5740,,MU741,广州-昆明,CAN,,D,B5647,B738,,,,7:35,10:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2143,,MU5462,太原-昆明,TYN,,D,B5257,B737,,,,7:35,10:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5655,,MU5711,杭州-昆明,HGH,,D,B2228,A320,,,,7:35,10:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9856,,8L9869,绵阳-昆明,MIG,,D,B6015,B738,,,,7:40,9:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA415,,CA415,成都-昆明,CTU,,D,B6478,A319,,,,7:40,9:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
HU7087,,HU7088,海口-昆明,HAK,,D,B5853,B738,,,,7:40,9:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
MU2205,,MU2206,银川-昆明,INC,,D,B9943,A320,,,,7:40,10:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
FM9539,,FM9540,温州-昆明,WNZ,,D,B5142,B738,,,,7:40,10:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3677,,CZ3678,上海-昆明,PVG,,D,B8869,A321,,,,7:40,10:53,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
FM9541,,FM9542,郑州-昆明,CGO,,D,B5132,B738,,,,7:50,10:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
FD582,,FD583,廊曼-昆明,DMK,,I,HSBBE,A320,,,,7:50,11:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2495,,MU2496,成都-昆明,CTU,,D,B5199,B737,,,,7:55,9:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2497,,MU2494,武汉-昆明,WUH,,D,B5589,B737,,,,7:55,10:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
HU7163,,HU7164,深圳-昆明,SZX,,D,B5522,B738,,,,7:55,10:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
CZ3491,,CZ3491,郑州-昆明,CGO,,D,B2916,B737,,,,7:55,10:33,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5476,,MU5475,合肥-昆明,HFE,,D,B6760,A320,,,,7:55,10:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2035,,MU2035,北京-昆明,PEK,,D,B1790,B738,,,,7:55,11:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA1955,,CA1752,温州-昆明,WNZ,,D,B8743,A320,,,,8:00,11:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
CZ3431,,CZ3432,海口-昆明,HAK,,D,B8547,A320,,,,8:05,9:48,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
GS7653,,GS7654,西安-昆明,XIY,,D,B8066,A320,,,,8:05,10:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MF8405,,MF8406,厦门-昆明,XMN,,D,B5151,B738,,,,8:05,10:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,3
MF8427,,MF8428,福州-昆明,FOC,,D,B5279,B737,,,,8:05,11:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,3
MU5716,,MU5757,北京-昆明,PEK,,D,B1789,B738,,,,8:05,11:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
HU7211,,HU7212,北京-昆明,PEK,,D,B2723,B787,,,,8:10,11:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
FM9453,,FM9453,上海-昆明,SHA,,D,B5261,B737,,,,8:15,11:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3409,,CZ3410,广州-昆明,CAN,,D,B6528,A332,,,,8:20,10:43,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
ZH9561,,ZH9562,南京-昆明,NKG,,D,B5778,B738,,,,8:20,11:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
GS7855,,GS7856,天津-昆明,TSN,,D,B8659,A330,,,,8:25,12:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8220,,KY8203,深圳-昆明,SZX,,D,B5673,B738,,,,8:30,10:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5717,Y,MU5749,北京-昆明,PEK,,D,B1703,B738,,,,8:30,12:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
ZH9265,,ZH9266,西安-昆明,XIY,,D,B6857,A322,,,,8:35,11:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
HO1121,,HO1122,上海-昆明,SHA,,D,B6788,A320,,,,8:35,11:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
MU2756,,MU2756,版纳-昆明,JHG,,D,B6463,A319,,,,8:40,9:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3857,,CZ3858,汕头-昆明,SWA,,D,B5837,B738,,,,8:40,10:58,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
SC4873,,SC4874,烟台-济南-昆明,YNT,TNA,D,B5117,B738,,,,8:50,12:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5711,,MU5739,版纳-昆明,JHG,,D,B5267,B737,,,,9:00,10:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8529,,3U8530,杭州-昆明,HGH,,D,B1662,A320,,,,9:00,12:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
FM9451,Y,FM9452,上海-昆明,SHA,,D,B2567,B763,,,,9:00,12:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9850,,8L9921,迪庆-昆明,DIG,,D,B5805,B737,,,,9:05,10:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3901,,CZ3902,北京-昆明,PEK,,D,B6111,A333,,,,9:05,12:23,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2573,,MU2573,北京-昆明,PEK,,D,B6143,B738,,,,9:10,12:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5946,,MU5965,澜沧-昆明,JMJ,,D,B5259,B737,,,,9:20,10:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
UO273,,UO274,香港-昆明,HKG,,R,,A322,,,,9:20,11:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5892,,MU5989,普洱-昆明,SYM,,D,B5807,B737,,,,9:30,10:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
